analysis,segment,model,rows,auc
region,clear_positive,EXP-036,245424,0.9719903589601757
region,clear_positive,EXP-035-C,245424,0.9723981360048353
region,clear_positive,EXP-027,245424,0.9746189163193888
region,clear_negative,EXP-036,154634,0.9072104672741479
region,clear_negative,EXP-035-C,154634,0.9059968765379943
region,clear_negative,EXP-027,154634,0.9145521436916141
region,ambiguous,EXP-036,102202,0.9244806714845037
region,ambiguous,EXP-035-C,102202,0.92472165859339
region,ambiguous,EXP-027,102202,0.928597380186925
score_band,0.30-0.40,EXP-036,22074,0.5873462651082941
score_band,0.30-0.40,EXP-035-C,22074,0.584085240633279
score_band,0.30-0.40,EXP-027,22074,0.5524234039143446
score_band,0.40-0.50,EXP-036,21012,0.5907843800761956
score_band,0.40-0.50,EXP-035-C,21012,0.5873885711386602
score_band,0.40-0.50,EXP-027,21012,0.5493480529990372
score_band,0.50-0.60,EXP-036,21770,0.5865083812596338
score_band,0.50-0.60,EXP-035-C,21770,0.5854772096324025
score_band,0.50-0.60,EXP-027,21770,0.5470195954725735
score_band,0.60-0.70,EXP-036,24278,0.5959111430939474
score_band,0.60-0.70,EXP-035-C,24278,0.5945186721567215
score_band,0.60-0.70,EXP-027,24278,0.5489494399392638
score_band,0.70-0.80,EXP-036,28507,0.6072813753261747
score_band,0.70-0.80,EXP-035-C,28507,0.6026095274740544
score_band,0.70-0.80,EXP-027,28507,0.5602541976085778
